C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,Sn,Al,Ti,Nb,CEQ,板坯装炉前温度,轧制道次数,精轧道次数,轧制厚度,粗轧开轧温度_测量平均,粗轧终止温度_测量平均,精轧开轧温度_测量平均,精轧终止温度_测量平均,抽出平均温度,TENSION_RM,YIELD_REH,EL
0.15,0.27,1.22,0.018,0.01,0.02,0.01,0.02,0.001,0.002,0.003,0.024,0.018,0.012,0.36,606,14,9,27.9,1149,1097,850,797,1172,538,449,27.5
0.15,0.27,1.22,0.018,0.01,0.02,0.01,0.02,0.001,0.002,0.003,0.024,0.018,0.012,0.36,602,12,7,21.4,1163,1111,849,810,1183,521,439,28.0
0.15,0.27,1.22,0.018,0.01,0.02,0.01,0.02,0.001,0.002,0.003,0.024,0.018,0.012,0.36,606,12,7,26.0,1126,1082,860,823,1178,557,464,27.5
0.15,0.27,1.22,0.018,0.01,0.02,0.01,0.02,0.001,0.002,0.003,0.024,0.018,0.012,0.36,593,12,7,25.45,1155,1105,858,821,1179,540,462,28.5
0.15,0.27,1.22,0.018,0.01,0.02,0.01,0.02,0.001,0.002,0.003,0.024,0.018,0.012,0.36,601,14,7,15.0,1162,1111,894,825,1181,535,441,29.0
0.15,0.27,1.22,0.018,0.01,0.02,0.01,0.02,0.001,0.002,0.003,0.024,0.018,0.012,0.36,601,12,7,25.7,1159,1109,854,819,1186,548,466,29.5
0.15,0.27,1.22,0.018,0.01,0.02,0.01,0.02,0.001,0.002,0.003,0.024,0.018,0.012,0.36,600,12,7,26.8,1162,1112,858,826,1183,536,449,28.5
0.15,0.27,1.22,0.018,0.01,0.02,0.01,0.02,0.001,0.002,0.003,0.024,0.018,0.012,0.36,589,12,7,26.2,1127,1082,857,824,1186,546,472,28.5
0.15,0.27,1.22,0.018,0.01,0.02,0.01,0.02,0.001,0.002,0.003,0.024,0.018,0.012,0.36,601,12,7,26.5,1140,1095,862,828,1175,552,481,28.5
0.157,0.26,1.25,0.016,0.004,0.02,0.01,0.01,0.001,0.002,0.003,0.034,0.022,0.013,0.37,176,14,7,11.63,1147,1094,869,775,1196,549,464,28.5
0.143,0.31,1.29,0.014,0.006,0.02,0.01,0.01,0.002,0.002,0.003,0.034,0.017,0.013,0.36,191,14,7,11.63,1149,1097,891,791,1190,560,502,28.5
0.144,0.26,1.23,0.018,0.005,0.02,0.01,0.02,0.001,0.002,0.003,0.032,0.016,0.015,0.36,137,14,7,11.64,1143,1091,869,778,1189,543,471,27.0
0.157,0.27,1.24,0.016,0.005,0.02,0.01,0.01,0.001,0.002,0.003,0.038,0.02,0.014,0.37,204,14,7,11.64,1135,1083,865,772,1182,557,495,28.0
0.153,0.28,1.25,0.015,0.004,0.02,0.01,0.01,0.001,0.002,0.003,0.033,0.019,0.012,0.37,188,14,7,11.64,1157,1102,869,773,1196,546,490,28.5
